Feature,Importance
SB_BinaryStats_mean_longstretch1,0.4148848867709991
DN_HistogramMode_5,0.11513218594546737
MD_hrv_classic_pnn40,0.11442667424868873
SB_TransitionMatrix_3ac_sumdiagcov,0.06278232766442571
DN_HistogramMode_10,0.0484240973035358
SC_FluctAnal_2_dfa_50_1_2_logi_prop_r1,0.04301778160729585
train_test_ratio,0.02366366957590218
CO_trev_1_num,0.02243815026421856
CO_Embed2_Dist_tau_d_expfit_meandiff,0.02134396447032674
PD_PeriodicityWang_th0_01,0.020344250230509075
CO_FirstMin_ac,0.015232788711470218
FC_LocalSimple_mean1_tauresrat,0.012556614459722868
CO_HistogramAMI_even_2_5,0.012366695223900749
DN_OutlierInclude_p_001_mdrmd,0.010919944817523768
SB_BinaryStats_diff_longstretch0,0.009930417469061101
DN_OutlierInclude_n_001_mdrmd,0.009659754367288718
SC_FluctAnal_2_rsrangefit_50_1_logi_prop_r1,0.00849739648796197
SP_Summaries_welch_rect_area_5_1,0.008124376193281269
IN_AutoMutualInfoStats_40_gaussian_fmmi,0.006481193045256919
CO_f1ecac,0.0064136220544837915
SP_Summaries_welch_rect_centroid,0.0054199026505624805
SB_MotifThree_quantile_hh,0.004767828470953305
FC_LocalSimple_mean3_stderr,0.003171477967163566
