dataset,variability_ratio,Variability_TEST,Variability_TRAIN
HandOutlines,1.077345211324063,150.1259678918773,139.34806254661095
GesturePebbleZ2,1.0232205680997843,30.868585655196114,30.168066023655044
ShakeGestureWiimoteZ,0.8869553624835067,536.052738741447,604.3739757550821
GestureMidAirD1,0.9720393995886886,418.0220314461356,430.04638662076724
MiddlePhalanxOutlineCorrect,0.9930017254103886,1014483.1616846451,1021632.828749999
EOGVerticalSignal,1.1360792422962351,6379.351688933502,5615.23479298821
Chinatown,0.8377013245354208,1714.74948028427,2046.9699999999998
PLAID,1.036550775407087,350.13946808129225,337.79287651758415
ProximalPhalanxOutlineCorrect,0.9078832394341066,13.427744596812035,14.790166855797109
EthanolLevel,1.5106790171755728,31.75564959884853,21.020778893335123
Wine,1.0049980866457537,33431.44378097614,33265.18152144523
Trace,1.011617500638608,4460.845760971598,4409.617032283033
ScreenType,0.8871534139533829,218.27679466432247,246.04176823445357
Worms,1.1227887539098935,112.62412208039311,100.30749033440307
BeetleFly,1.0940225329160682,57.94178917508708,52.96215336684687
GesturePebbleZ1,1.090899341339851,4.33691639469994,3.9755422249804515
OliveOil,0.9492672943494406,5.6371542400067405,5.938426693474192
Strawberry,1.0214248002183552,158.97679241931948,155.64218960155873
WormsTwoClass,0.9599163625366312,40.89439591835326,42.60204067184311
Lightning7,0.8750249674170334,33.22246053363142,37.96744295388514
Meat,2.065172615120463,2795.965126475484,1353.8650987352905
Plane,0.9440679594114009,95.78250560064639,101.45721464836495
Beef,0.9427429435594682,63.95026796511452,67.83425789819294
ProximalPhalanxOutlineAgeGroup,0.6630017929586034,469.9089082621701,708.7596342164196
ShapesAll,1.113789406715827,44.00654894196961,39.51065495561629
ProximalPhalanxTW,1.0199667565279433,13863.346033294882,13591.958703131591
MiddlePhalanxTW,0.944327725966673,4.738974234122888,5.018357614430707
SemgHandSubjectCh2,0.9743231470018309,51.401295186179105,52.75590069306084
ItalyPowerDemand,0.9401877267413469,2.748169656200712,2.923000990159442
PhalangesOutlinesCorrect,1.0108427540632727,20.193036528154877,19.976436935403818
DistalPhalanxOutlineCorrect,0.7650331873144097,5.309366232713576,6.9400469427368225
MoteStrain,1.2584273120140606,32.74789668526942,26.022875038255304
CricketY,0.9899952471514719,389.86286971523896,393.802769091061
AllGestureWiimoteY,0.9603122587853998,15.68524546922821,16.333484578304628
SwedishLeaf,1.0727279424715481,469.22387380219305,437.4118126550416
ACSF1,0.9713496735497353,1014.9131895520012,1044.8484384033052
FaceAll,0.9746598691076989,35.79405942582479,36.72466730223976
SemgHandGenderCh2,0.9589636710904347,147.0928678833021,153.38732041438362
DodgerLoopDay,0.9253790003395594,613.0050424595574,662.436733743278
NonInvasiveFetalECGThorax2,1.0423915001002084,2.519770500399184,2.4172976277693654
Computers,0.9760190656033398,193.58509648587304,198.3415112554238
MelbournePedestrian,1.0651993527609338,78.95926186951749,74.12627661184712
AllGestureWiimoteX,0.9983251182110403,163.39397457998516,163.66809929893458
UMD,1.0009222269416342,18.913482258537098,18.89605580678146
ToeSegmentation2,1.1770805560924946,202.50932790103565,172.04372874299906
MixedShapesRegularTrain,0.8809165294783265,419.7282205241841,476.4676407794784
OSULeaf,1.3775338467820728,8854.43187515625,6427.741790766343
NonInvasiveFetalECGThorax1,0.9852908842207266,131.4137119177632,133.37554829982946
FordB,1.0037212284057409,2.809438645546143,2.799022842237292
SmallKitchenAppliances,0.9554263460451992,24.90497438194016,26.0668700261715
FordA,0.9736165993112456,3729.378949634025,3830.438955408378
CricketZ,1.0118474562618456,25.528175684342898,25.229272976238747
HouseTwenty,0.873671742640357,2.4373659558888887,2.789796026277365
SemgHandMovementCh2,0.9972830721086434,12325.34830227532,12358.926614702033
CricketX,1.1101453229982947,67.76070785182108,61.03769159591836
Earthquakes,1.0563828665893402,130.70612496963278,123.72987967102618
TwoLeadECG,0.9789683468867202,22.75057227285177,23.239333881633986
SonyAIBORobotSurface1,0.9998032817035237,8.355104922346593,8.356748847744
MedicalImages,0.9350777378032793,75.70582021904967,80.96206032762656
TwoPatterns,1.4978615398197135,583.4652919548053,389.5321940271146
Crop,0.9455969637845546,12799.591379040796,13535.990352394007
Fish,1.1331588388859806,1126.6539969063474,994.259549715
GunPointAgeSpan,1.1208235877500252,5.495753505599592,4.9033171372061615
FreezerRegularTrain,0.7539443024715617,2466.705028971522,3271.7337618776746
Herring,0.9552175899181904,10.231830120663858,10.711517698852429
GestureMidAirD2,1.0423103511768679,6.392475765446399,6.132986934485188
ECGFiveDays,1.1178177461948366,54.22850322266264,48.51283083245179
LargeKitchenAppliances,1.1945999313194933,36.75584945616274,30.76833380993429
GunPointMaleVersusFemale,0.7144320884720995,36.93797699250766,51.70257269869281
GunPointOldVersusYoung,0.897596869029557,570.2471102780431,635.3042551213103
Lightning2,0.4562477389523823,59.59343576649091,130.6163969235814
Yoga,1.0179773769891016,30197.768240492907,29664.478723298977
AllGestureWiimoteZ,1.0651834146231727,10.574071004561205,9.926995538418112
PowerCons,1.268831098293011,20663.396965824188,16285.380294999983
SyntheticControl,1.1912750966209131,229.29556078047523,192.479101956281
UWaveGestureLibraryX,1.0217302758921065,68.10145889769626,66.65306931248037
GunPoint,0.9791477184060716,382.68004259728855,390.82973427160016
UWaveGestureLibraryAll,1.049971620907932,57.33408249197015,54.605363945353304
FaceFour,1.0575329742156856,54.37382207323926,51.415722628947194
DistalPhalanxTW,1.0012780532049104,20.72914258742902,20.70268345648721
SmoothSubspace,1.5263817724706914,48.62228182259145,31.854600663822495
UWaveGestureLibraryY,1.1585016383844031,20.00634195968384,17.26915292721021
FiftyWords,0.943378717050777,3.7992540866598437,4.027284077954612
StarLightCurves,1.1764523620204834,53951.81078103904,45859.749636084016
ChlorineConcentration,1.0027436887293333,90.20954995414758,89.96272025253054
RefrigerationDevices,1.052864870300449,42.25693310024122,40.13519141177409
UWaveGestureLibraryZ,0.941051877169149,8.636804268507955,9.177819499695378
InsectWingbeatSound,0.9605662918466357,754.2685834670629,785.2332419629499
Coffee,0.9532884322089661,8.054296666193448,8.448960874863424
Ham,1.128183965473622,422.9817794407834,374.92270089409726
InlineSkate,1.212957115313765,8.248191223299152,6.800068295213824
Haptics,1.098499706967575,32.74789668526942,29.811475121527778
Adiac,1.247864954673885,28.0739549038791,22.497590623671215
CBF,0.774761736153056,66850.70310402686,86285.49912126837
InsectEPGSmallTrain,0.9923440818156073,162.6946453424192,163.94983184134145
ElectricDevices,1.0374879426406165,102.06556433786963,98.37759085478346
DodgerLoopGame,1.0536377540955832,643.1193650376628,610.379955101078
WordSynonyms,0.8503294125136082,4321.393069703876,5082.022338765942
FreezerSmallTrain,0.9751512073267344,229.29556078047523,235.1384678167633
Mallat,1.0361616460313152,24.04053801336855,23.20153241094005
FacesUCR,1.1038939418149496,1195.5473106258469,1083.0273320099998
MiddlePhalanxOutlineAgeGroup,1.2063610669435696,26.974929101129845,22.360576646818842
Wafer,0.9749537401840729,224.21535329035225,229.9753763168497
ShapeletSim,1.1085621352505635,94.93900758736508,85.64157530593126
DodgerLoopWeekend,inf,52.5146093898747,0.0
BME,1.2953904751019347,164.40726003147165,126.9171444374982
GestureMidAirD3,0.9677607474380103,14135.28146300139,14606.173582078274
ArrowHead,0.9077392973410446,1.7084743028061986,1.8821200181711553
EOGHorizontalSignal,1.135803102756281,30.11788896972337,26.516822234976786
ToeSegmentation1,1.0120115519130697,218.57475841090613,215.98049745353242
SonyAIBORobotSurface2,1.1846471788256945,28.00586360439782,23.640678933755787
MixedShapesSmallTrain,1.020967406795062,158.737753957217,155.47778793009041
ECG5000,0.873530786355692,41.6943519810495,47.73083288225634
ECG200,1.0234960075073212,127.93735995496368,125.00035077474254
DistalPhalanxOutlineAgeGroup,1.0101158780599866,67.76070785182108,67.08211337293429
CinCECGTorso,1.004786927814924,14.071820283166732,14.004780410278865
PickupGestureWiimoteZ,0.8733593781468982,5.225135159338912,5.982800769169789
InsectEPGRegularTrain,0.97201847956633,18.84720736117768,19.38976239380391
Rock,1.0469405149638724,115.73118708103794,110.54227573285915
BirdChicken,0.9651249549461803,52.76582008150261,54.6725269210815
PigArtPressure,1.050326416755138,103.44473318436836,98.48817618426555
Phoneme,1.1038665800289744,51.846817993167754,46.9683736523728
Car,0.9993715082816577,394.36316349542847,394.6111733498442
PigCVP,1.0220228758691638,66.82555308641975,65.38557469135803
Symbols,3.296078179483187,12.25074581328526,3.7167643320906096
PigAirwayPressure,1.2427095520380615,711.3834585199515,572.4454739671651
DiatomSizeReduction,1.519264005547881,1524.315276871456,1003.3248147162899
Fungi,0.9441932521861202,3.8452702145570736,4.072545748080702
